before,after,paragraphIndex,annotation,sentences
,0,0,N,
,1,0,HT,"During his tenure as staff producer with Sony Music Entertainment he has worked with vocalists such as Celine Dion, Whitney Houston, Lucero, Taylor Dayne, Mariah Carey, Jessica Simpson, Anastacia, Barry Manilow, Marc Anthony and Jennifer Lopez."
,2,0,N,
,0,2,N,
,0,3,N,
,0,7,HT,"Taylor Dayne - ""Tell It to My Heart"", ""Don't Rush Me"", ""With Every Beat of My Heart"", ""Love Will Lead You Back"""
,0,13,N,
,0,15,N,
,0,22,N,
,0,30,N,
,0,31,N,
,1,31,N,
,0,37,N,
