before,after,paragraphIndex,annotation,sentences
,0,0,HT,"Alessia Caracciolo (born July 11, 1996), known professionally as Alessia Cara (), is a Canadian-Italian singer-songwriter."
,1,0,HT,"After uploading acoustic covers of songs such as ""Love Yourself"" and ""Sweater Weather"" online, she signed with EP Entertainment and Def Jam Recordings in 2014 and released her debut single the following year."
,2,0,N,
,3,0,HT,"Cara's debut studio album, Know-It-All (2015), peaked at number 8 on the Canadian Albums Chart and at number 9 on the Billboard 200."
,4,0,N,
,5,0,HM,"In 2017, Cara collaborated with DJ and producer Zedd on the single ""Stay"", which is certified seven-times platinum in Canada, and featured on rapper Logic's song ""1-800-273-8255""."
,6,0,HT,"Cara has received nominations for four Grammy Awards, winning the Best New Artist in 2018."
,7,0,HT,"She was nominated for Song of the Year and Record of the Year at the 2019 Latin Grammys for her collaboration with Juanes on ""Querer Mejor""."
,8,0,HT,"Her second studio album, The Pains of Growing (2018), saw the moderate commercial success of the singles ""Growing Pains"" and ""Trust My Lonely""."
,9,0,HT,The album won Juno Award for Album of the Year and Juno Award for Pop Album of the Year while she went on to win Juno Award for Songwriter of the Year.
,10,0,HT,"Her third album, In the Meantime (2021), was met with generally positive reviews from critics."
,0,2,HT,"Alessia Cara was born on July 11, 1996, in Mississauga, Ontario, and grew up in Brampton, where she attended Cardinal Ambrozic Catholic Secondary School."
,1,2,HT,"Her family is from Calabria, Italy; her father was born in Canada to Italian parents, and her mother is an Italian immigrant."
,2,2,N,
,3,2,N,
,4,2,N,
,5,2,N,
,6,2,N,
,0,5,HT,"In July 2014, Cara, accompanied by her father, went to New York, where she signed a management deal with EP Entertainment, and began work on her debut studio album later that same year."
,1,5,N,
,2,5,HT,"In April 2015, Cara released her official debut single through Def Jam."
,3,5,N,
,4,5,N,
,5,5,HT,"On May 5, 2015, the song was chosen as the ""can't-miss"" track by Spin, as well as being listed as a ""must hear song"" by Cosmopolitan."
,6,5,N,
,7,5,N,
,8,5,HT,"On July 29, 2015, Cara made her television debut on The Tonight Show Starring Jimmy Fallon."
,9,5,N,
,10,5,N,
,11,5,HT,"Her debut album, Know-It-All, was released on November 13, 2015."
,12,5,HT,"From January to April 2016, Cara embarked on her first headlining tour, the ""Know-It-All Tour"", performing in various US and Canadian cities."
,13,5,HT,She was short-listed for the BBC Music Sound of... award for 2016 and finished as the runner-up.
,14,5,HT,Cara was awarded as Breakthrough Artist of the Year at the 2016 Juno Awards.
,15,5,HT,"On March 7, 2016, Cara released a music video for ""Wild Things."""
,16,5,HT,"In April 2016, Cara was announced to be one of the supporting acts of British alternative rock band Coldplay in the European and North American legs of their A Head Full of Dreams Tour, alongside British singer songwriter and Grammy winner Foxes."
,17,5,HT,"On June 23, 2016, Cara was featured in a re-released version of the song ""Wild"" by Troye Sivan."
,18,5,N,
,19,5,HT,"She played Glastonbury Festival on June 24, 2016, in the John Peel tent."
,20,5,HT,"The music video for Cara's single ""How Far I'll Go"", from the Disney film Moana, was released on November 3, 2016, and since then has received over 250 million views on YouTube."
,21,5,N,
,22,5,HT,"On December 15, 2016, Cara released a music video for ""Seventeen""."
,23,5,HT,"Cara performed as the musical guest on Saturday Night Live on February 4, 2017."
,24,5,HT,"On April 18, 2017, the music video of the song ""Stay"" by Zedd featuring Cara was released."
,25,5,N,
,26,5,HT,"The song was released as a single on April 28, 2017 and also features American singer-songwriter Khalid."
,27,5,HT,"Cara also made an appearance in the video, which was released on August 17, 2017."
,0,8,N,
,1,8,N,
,2,8,N,
,3,8,HT,"In October 2018, she collaborated with Italian singer Eros Ramazzotti for the song ""Vale per sempre"", from the album Vita ce n'è."
,4,8,N,
,5,8,N,
,6,8,N,
,7,8,N,
,8,8,N,
,9,8,N,
,10,8,N,
,11,8,N,
,12,8,N,
,13,8,HT,"Cara also collaborated with Alec Benjamin on ""Let Me Down Slowly"", which was released on January 7, 2019."
,14,8,HT,"On February 21, Cara announced she would join Shawn Mendes as the opening act on his self-titled world tour for the European, United Kingdom, and United States legs."
,15,8,N,
,16,8,N,
,17,8,N,
,18,8,N,
,19,8,N,
,20,8,N,
,21,8,N,
,22,8,N,
,23,8,N,
,24,8,N,
,25,8,HT,"On March 6, 2020, Cara collaborated with American singer and songwriter Lauv for the song ""Canada"" on Lauv's debut album, How I'm Feeling."
,26,8,HT,"On April 3, 2020, Cara released ""I Choose"", for the 2020 Netflix animated movie The Willoughbys, where she made her debut voice-role on a film for the character ""Jane Willoughby""."
,27,8,HT,"On July 17, 2020, Cara released her first live EP, This Summer: Live Off The Floor, which features live, reimagined performances of the songs off of This Summer, as well as three bonus tracks and an intro that interpolates Summertime by George Gershwin."
,28,8,N,
,0,9,N,
,1,9,HT,2021–present: In the Meantime =
,2,9,N,
,0,13,HT,Cara lives in Toronto.
,1,13,N,
,2,13,N,
,3,13,N,
,0,15,N,
,1,15,N,
