before,after,paragraphIndex,annotation,sentences
,0,0,HT,"Conrad Janis (born February 11, 1928) is an American jazz trombonist and actor, best known for his role as Mindy McConnell's father Frederick on television's Mork & Mindy."
,0,2,HT,"A native of New York City, Janis is the son of Harriet, a writer, and Sidney Janis, an art dealer and writer."
,1,2,N,
,0,4,HT,"In 1946, Janis portrayed ""Johnikins"" in Margie with Jeanne Crain."
,1,4,HT,The next year he starred in the film noir The Brasher Doubloon with George Montgomery.
,0,5,HT,"Janis's work on television included starring in ""Fit to Kill"" on The Web on November 19, 1950."
,1,5,HT,"In 1953, he played eldest son Edward on the sitcom Bonino."
,2,5,N,
,3,5,N,
,4,5,N,
,0,6,N,
,1,6,HT,"In 1949 he assembled a band of aging jazz greats (""all of the guys that I idolized"") consisting of James P. Johnson (piano), Henry Goodwin (trumpet), Edmond Hall (clarinet), Pops Foster (bass), and Baby Dodds (drums), with himself on trombone."
,2,6,HT,"In the late 1970s, he formed the Beverly Hills Unlisted Jazz Band, which appeared multiple times on the Tonight Show Starring Johnny Carson and gave eight sold-out performances at Carnegie Hall."
