before,after,paragraphIndex,annotation,sentences
,0,0,HM,"James Chance, also known as James White (born April 20, 1953 as James Siegfried in Milwaukee, Wisconsin, United States), is an American saxophonist, keyboard player, songwriter and singer."
,0,1,HM,"A key figure in no wave, Chance has been playing a combination of improvisational jazz-like music and punk in the New York music scene since the late 1970s, in such bands as Teenage Jesus and the Jerks, James Chance and the Contortions, James White and the Blacks (as he appeared in the film Downtown 81), The Flaming Demonics, James Chance & the Sardonic Symphonics, James Chance and Terminal City, and James Chance and Les Contortions."
,0,3,HT,"Born and raised in Milwaukee and Brookfield, Wisconsin, Chance attended Michigan State University, then the Wisconsin Conservatory of Music in Milwaukee."
,1,3,N,
,2,3,HT,"At the end of 1975, Chance dropped out and moved to New York City after the dissolution of the band and the death of its singer."
,3,3,N,
,4,3,HM,"His first band in New York in 1976 was an instrumental quartet with violin, drums and bass called Flaming Youth."
,5,3,N,
,6,3,N,
,7,3,N,
,0,4,N,
,1,4,HT,"Chance was noted for engaging in physical confrontations, from forcing the audience out of their seats and getting in fist fights with his New York City audience, including rock critic Robert Christgau."
,2,4,N,
,0,5,HT,"In 1979, Chance collaborated with Arto Lindsay, Bradley Field, and George Scott on the soundtrack to Diego Cortez's film Grutzi Elvis."
,1,5,N,
,2,5,N,
,3,5,HT,"The Contortions released one album, Buy in late 1979, and another album, Off White, under the pseudonym James White and the Blacks in 1980 (featuring Lydia Lunch under the pseudonym Stella Rico)."
,4,5,HT,Chance re-formed James White and the Blacks with a completely different lineup that appeared on the 1982 album Sax Maniac which was dedicated to Phillips.
,5,5,N,
,0,6,N,
,1,6,N,
,2,6,HM,"In 1982 Chance toured with the re-formed James White and the Blacks with his brother David ""Tremor"" Siegfried and his band David and the Happenings from Carbondale, Illinois, playing Chicago, their hometown Milwaukee, and much of the Midwest."
,0,7,HT,"Chance briefly relocated to Paris, returning to New York City in 1983 to record the album James White Presents The Flaming Demonics."
,1,7,HT,"In 1987, he contributed saxophone to The False Prophets' Implosion album."
,2,7,HT,"In 2001, Chance reunited with original Contortions members Jody Harris (guitar), Pat Place (slide guitar) and Don Christensen (drums) for a few limited engagements."
,3,7,HT,"Original keyboard player Adele Bertei appeared briefly, but bass player George Scott III had died of an accidental drug overdose in 1980 and his slot was filled by Eric Sanko."
,4,7,HT,"The reunited group has played twice at the All Tomorrow's Parties music festival, and, in 2008, at the PS1 Warm Up series."
,5,7,N,
,6,7,HT,Tiger Style records released the 4-CD box set retrospective Irresistible Impulse to critical acclaim in 2003.
,7,7,N,
,0,8,HT,"In addition to limited engagements with the original Contortions, Chance has occasionally performed and recorded with the Chicago band Watchers."
,1,8,HM,"In Europe, he performs with James Chance & Les Contortions, French musicians who have been his backing band since 2006."
,2,8,HT,They played a 15 show Europe tour in April and May 2007 and were back in Europe in October 2007.
,3,8,HT,In May 2012 they released the CD Incorrigible!
,4,8,N,
,0,9,HT,"In 2009 Chance made occasional appearances playing keyboards in NYC with a trio, with the material restricted to close readings of jazz standards."
,1,9,HT,"In June 2012, Chance played in Portland, OR with local group Ancient Heat as his backing band."
,2,9,N,
,0,10,HT,"In 2016, 19-year-old Dylan Greenberg directed James Chance in the music video for a re-recorded version of Melt Yourself Down, his first music video in nearly 20 years."
,1,10,N,
,0,13,HT,"James Chance and the ContortionsBuy (ZE Records, 1979) (as Contortions)"
,0,14,N,
,0,19,N,
,1,19,HT,"(LADTK, France 2012) (as James Chance et les Contortions)"
,0,20,HT,"The Flesh is Weak (True Groove, 2016)James White and the BlacksOff White (ZE Records, 1979)"
,0,22,HM,"Melt Yourself Down (Selfish Records, Japan 1986)James Chance and Pill FactoryTheme from Grutzi Elvis (EP) (ZE 1979)James White's Flaming DemonicsJames White's Flaming Demonics (ZE 1983)James Chance and Terminal CityThe"
,1,22,N,
,0,28,HT,"Medium Cool (compilation, 1991), Chet Baker tribute with Alex Chilton, Adele Bertei, and Angel Torsen"
,0,30,HT,"Blondie: No Exit (album, 1999) guest artist on alto saxophone"
,0,35,HT,"Acoustic Ladyland - Skinny Grin (album, 2006)"
,0,36,HT,"Kirin J. Callinan - Bravado (album, 2017)"
