before,after,paragraphIndex,annotation,sentences
,0,0,HT,"Eva Maria Noblezada (; born March 18, 1996) is an American actress and singer."
,1,0,HT,"Noblezada made her Broadway debut as Kim in a revival of Miss Saigon, a performance for which 21-year-old Eva received a nomination for a 2017 Tony Award for Best Actress in a Leading Role in a Musical, becoming one of the youngest nominees in the category."
,2,0,HT,"She also originated the lead role of Eurydice in Hadestown on Broadway, a performance for which 23-year-old Noblezada received her second nomination for a 2019 Tony Award for Best Actress in a Leading Role in a Musical, as well as winning the 2020 Grammy Award for Best Musical Theater Album."
,3,0,HT,"Noblezada also played the title character of Rose in the 2020 film Yellow Rose, starring alongside Lea Salonga, who originated the role of Kim in Miss Saigon."
,0,2,HT,"Eva Maria Noblezada was born on March 18, 1996, in San Diego, California to a Filipino father, Jon, and a Mexican-American mother, Angie Noblezada."
,1,2,HT,"She and her family moved to Charlotte, North Carolina, where she attended the Northwest School of the Arts until she was 17."
,2,2,N,
,0,4,HM,"On July 1, 2013, Noblezada became one of five finalists for the 2013 National High School Musical Theatre Awards Her performance of the song ""With You"" from Ghost during the awards ceremony at the Minskoff Theatre in New York City was noted by casting director Tara Rubin, who arranged an audition for Noblezada, then 17, before producer Cameron Mackintosh for the forthcoming West End revival of Miss Saigon."
,1,4,N,
,2,4,HT,"In the spring of 2014, Noblezada left the Northwest School of the Arts in Charlotte to star in Miss Saigon in London."
,3,4,HT,"For her performance as Kim, Noblezada won the 2015 WhatsOnStage Award for Best Actress in a Leading Role in a Musical."
,4,4,HT,"She performed ""I'd Give My Life for You"" at the 2015 Laurence Olivier Awards ceremony."
,5,4,HT,"Following the limited run of Miss Saigon in London, Noblezada assumed the role of Éponine in the West End production of Les Misérables in April 2016."
,6,4,HT,"On May 2, 2016, Noblezada made her Carnegie Hall debut, celebrating Alain Boublil and Claude-Michel Schönberg, performing ""The Movie in My Mind"" with Lea Salonga and The New York Pops."
,7,4,HT,"Noblezada reprised her performance as Kim in the first Broadway revival of Miss Saigon, which opened at the Broadway Theatre on March 23, 2017, for a limited run through January 14, 2018."
,8,4,HT,"For her performance, Noblezada was nominated for the 2017 Tony Award for Best Actress in a Leading Role in a Musical."
,9,4,HT,In November 2018 Noblezada opened in the lead role of Eurydice in the Royal National Theatre's production of the musical Hadestown.
,10,4,HT,She continued in the role of Eurydice when the production transferred to Broadway's Walter Kerr Theatre in April 2019.
,11,4,N,
,12,4,HT,"Noblezada made her film debut in the Diane Paragas film Yellow Rose (2019) as the title character, Rose."
,13,4,N,
,14,4,N,
,15,4,N,
,0,6,HT,"On November 4, 2017, Noblezada married her longtime boyfriend, actor Leo Roberts."
,1,6,HT,Noblezada separated from Roberts in 2019 and later divorced.
,2,6,HT,"Since 2019, she has been in a relationship with her Hadestown co-star Reeve Carney."
,3,6,N,
