before,after,paragraphIndex,annotation,sentences
,0,0,HT,Craig Milton Wright (born 1944) is the Henry L. and Lucy G. Moses Professor of Music Emeritus at Yale University.
,1,0,HT,"He studied at the Eastman School of Music from 1962–1966, and at  Harvard University from 1966 and 1972, where he obtained an M.A. and a Ph.D. in musicology."
,2,0,HT,"Wright completed his Ph.D. in 1972 with a thesis titled Music at the court of Burgundy, 1364-1419."
,3,0,HT,"After a year teaching at the University of Kentucky in Lexington, he moved to Yale in 1973, serving as the chair of the department of music from 1986 to 1992."
,4,0,N,
,5,0,HT,"His early work concentrated on Middle Ages and renaissance music, his most important contribution being Music and Ceremony at Notre Dame of Paris (1989)."
,6,0,HT,"More recently, Wright turned his attention to Mozart and the study of genius generally, with the publication of his trade book The Hidden Habits of Genius (Harper Collins, 2020, at Amazon), which was an Amazon Book of the Year selection for the Nonfiction class."
,0,2,HT,"On May 15, 2013, Wright was named the first Academic Director of Online Education at Yale University."
,1,2,HT,"His Yale online music course Introduction to Classical Music (available at Coursera) had been engaged by 180,000 participants as of December 1, 2020."
,0,4,N,
,1,4,N,
,2,4,N,
,3,4,N,
,4,4,N,
,5,4,N,
,6,4,N,
,7,4,N,
