before,after,paragraphIndex,annotation,sentences
,0,0,HT,"Gjon Mili (November 28, 1904 – February 14, 1984) was an Albanian photographer from Korça who developed his profession in America, best known for his work published in Life, in which he photographed artists such as Pablo Picasso."
,0,2,HT,"Born to Vasil Mili and Viktori Cekani in Korçë, in the Manastir Vilayet of the Ottoman Empire (present-day Albania)."
,1,2,HT,"Mili spent his childhood in Romania, attending Gheorghe Lazăr National College in Bucharest, and migrating to the United States in 1923."
,2,2,HT,"In 1939, Mili started to work as a photographer for Life (a position he held until he died in 1984)."
,3,2,HM,"Over the years his assignments took him to the Riviera (Picasso); to Prades, France (Pau Casals in exile); to Israel (Adolf Eichmann in captivity); to Florence, Athens, Dublin, Berlin, Venice, Rome, and to Hollywood to photograph celebrities and artists, sports events, concerts, sculptures and architecture."
,0,3,N,
,1,3,N,
,2,3,N,
,3,3,N,
,0,4,HM,"In 1944, he directed the short film Jammin' the Blues, which was made at Warner Bros., and features performances by Lester Young, Red Callender, Harry Edison, ""Big"" Sid Catlett, Illinois Jacquet, Barney Kessel, Jo Jones and Marie Bryant."
,1,4,N,
,2,4,N,
,0,5,N,
,1,5,HT,"Mili died of pneumonia in Stamford, Connecticut, at the age of 79."
