before,after,paragraphIndex,annotation,sentences
,0,0,HT,Philip Thornalley (born 5 January 1960) is an English songwriter-producer who has worked in the music industry since 1978.
,1,0,N,
,2,0,HT,"He also produced The Cure's 1982 album Pornography and was later their bass player for eighteen months, producing and performing the distinctive double bass line on their 1983 single ""The Love Cats""."
,3,0,HT,"In 1988, Thornalley released his only solo album Swamp and briefly joined the band Johnny Hates Jazz."
,4,0,N,
,5,0,HT,In 2017 he joined Adams' band as bass player for 18 months before releasing two solo albums of his own seventies inspired music under the moniker Astral Drive.
,0,2,HT,"Thornalley was born in Worlington, near Mildenhall, Suffolk, England."
,0,3,HM,"He began working as a recording engineer in 1978, at RAK Studios in St. John's Wood, London for producers Mickie Most, Steve Lillywhite and Alex Sadkin."
,1,3,N,
,2,3,HT,"After Simon Gallup parted ways with the band in 1982, he was The Cure's bassist for eighteen months."
,3,3,HT,"He produced their 1983 single The Love Cats and their first live album, Concert."
,4,3,N,
,5,3,HT,"He was nominated for a Grammy Award for Best Engineered Album, Non-Classical in 1984 for Into the Gap by the Thompson Twins and released his only solo album (Swamp)."
,6,3,N,
,0,4,N,
,1,4,HT,"In 1991, he co-wrote ""Torn"" (with Scott Cutler and Anne Preven), which later appeared on Ednaswap's 1995 debut album."
,2,4,HT,"Subsequently, he was asked to produce some songs for Natalie Imbruglia, and ""Torn"" was re-recorded alongside four other songs Thornalley wrote on Imbruglia's 1997 seven million selling debut album Left of the Middle, and became a worldwide hit single."
,3,4,HT,"In 2012, the single was covered by One Direction on their live concert DVD Up All Night: The Live Tour."
,0,5,N,
,1,5,N,
,0,6,HT,"In 2010, he wrote two UK number ones: ""Mama Do"" and ""Boys and Girls"" for Pixie Lott, and in 2012 the top ten hit ""Kiss the Stars""."
,0,7,HT,"In 2016 and 2017, Thornalley toured as bass player with Bryan Adams on his ""Get Up"" and ""Ultimate"" tours."
,1,7,HT,"He played 53 shows in the US, Canada, UK, Europe, Israel and Republic of South Africa."
,2,7,HT,"He contributed the song ""That's Rock and Roll"" to the Get Up album and ""The Last Night on Earth"" and ""Talk to Me"" to the 2019 Shine a Light album."
,0,8,HT,"In May 2018, Thornalley announced a new solo project called 'Astral Drive' with the release of the single ""Summer of '76"", followed by the Love Is Real EP in January 2019 (including a cover of the Todd Rundgren song, ""A Dream Goes On Forever"")."
,1,8,N,
,2,8,N,
,3,8,HT,"Summer 2021 saw the release of another album, again titled 'Astral Drive', including ten original songs and a cover of 'Open My Eyes' by Nazz."
,4,8,N,
,0,10,N,
,1,10,HT,Soul and R&B singer Reggie Sears has named Thornalley as his favourite singer and credits Thornalley's 1988 release Swamp as the main driving force for wanting to be a singer and musician.
,0,13,N,
,0,14,HT,"Natalie Imbruglia - ""Wishing I Was There"" (#15 US)"
,0,15,N,
,0,16,HT,"Bryan Adams - ""On a Day Like Today"" (#12 UK)"
,0,17,HT,"Ronan Keating - ""The Way You Make Me Feel"" (#5 UK)"
,0,18,N,
,0,19,N,
,0,20,HT,"Pixie Lott - ""Cry Me Out"" (#5 UK)"
,0,21,HT,"Pixie Lott - ""Kiss the Stars"" (#9 UK)"
,0,22,HT,"Hepburn - ""I Quit"" (#8 UK)"
,0,23,HT,"Shannon Noll - ""Drive"" (#1 Australia)"
,0,24,N,
,1,24,N,
,0,25,N,
,0,26,N,
,0,27,HT,"Bryan Adams - ""Shine A Light"" (co-writer ""The Last Night On Earth"" & ""Talk To Me"")"
,0,28,HT,Bryan Adams - On a Day Like Today (co-writer
,1,28,N,
,2,28,N,
,0,29,N,
,0,30,N,
,0,31,N,
,0,32,HT,"Bryan Adams - ""Shine A Light"" (co-writer ""Talk to Me"" & co-writer and producer ""The Last Night on Earth"")"
,0,33,N,
,0,34,HT,"Melanie C - Northern Star (writer ""Gaga"" and ""Be the One"")"
,0,35,N,
,0,36,N,
,0,37,N,
,0,40,N,
,0,41,N,
,0,42,HT,"Holly Vallance - ""Naughty Girl"" (#9 UK)"
,0,43,HT,"Robbie Nevil - ""C'est La Vie"" (#2 US)"
,0,44,N,
,0,48,N,
,0,49,N,
,1,49,N,
,0,54,N,
,0,56,N,
,0,60,N,
,0,64,N,
,0,65,N,
,0,66,N,
,0,69,HT,"ASCAP 'Song of the Year' 1998 for ""Torn"" (Natalie Imbruglia)"
