before,after,paragraphIndex,annotation,sentences
,0,0,HT,"Esham Attica Smith (born September 20, 1973), known mononymously as Esham, is an American rapper from Detroit, Michigan."
,1,0,HT,"Emerging as one of the first ever hip hop artists from Detroit, Esham released his debut studio album, Boomin' Words from Hell, in 1989 at the age of 16."
,2,0,N,
,3,0,HT,"In 1992, he co-founded the horrorcore group Natas."
,4,0,HT,He and his brother James Smith founded and ran the Detroit hip hop label Reel Life Productions.
,0,1,HT,"As one of the first rappers to receive attention in the city, Esham was often cited as a major influence on another Detroit horrorcore act, Insane Clown Posse."
,1,1,N,
,2,1,N,
,0,4,HT,"Born Esham Attica Smith on September 20, 1973, in Long Island, New York, Esham grew up splitting time between the Seven Mile neighborhood on the East side of Detroit, Michigan, where he lived with his mother."
,1,4,HT,"He attended Osborn High School, and lived with his grandmother in New York during summers."
,2,4,N,
,3,4,N,
,4,4,HT,"According to Esham, ""He felt like I had a dope flow, and he thought I could bring something new to the game, just coming from the city of Detroit."
,5,4,N,
,6,4,N,
,7,4,N,
,8,4,N,
,9,4,HT,"In one occurrence, Champtown and Esham were forced to rap for a drug dealer at gunpoint."
,10,4,HT,"At the age of 16, Smith released his debut album, Boomin' Words from Hell, in 1989."
,11,4,N,
,12,4,HT,"It was all an expression about ['70s-'80s drug cartel] Young Boys Incorporated, Mayor Coleman Young, the city we lived in and just the turmoil that our city was going through at the time."
12.0,13,4,HM,"It was all an expression about ['70s-'80s drug cartel] Young Boys Incorporated, Mayor Coleman Young, the city we lived in and just the turmoil that our city was going through at the time. We referred to the streets of Detroit as 'Hell' on that record."
,14,4,N,
,15,4,HT,"In 1990, Esham and James H. Smith founded the independent record label Reel Life Productions, which reissued his debut album with an alternate track listing and artwork."
,16,4,N,
,17,4,HT,"In 1991, Esham met Joseph Bruce, a member of the group Inner City Posse, who praised Esham and Reel Life Productions, and gave Esham a copy of the group's EP Dog Beats, beginning the two rappers' friendship and professional relationship."
,18,4,N,
,19,4,HT,"In All Music Guide to Hip-Hop, Jason Birchmeier wrote that Judgement Day, Vol."
,20,4,N,
,21,4,N,
,22,4,N,
,23,4,N,
,0,6,N,
,1,6,HT,"In 1992, Esham appeared on Carnival of Carnage, the debut album of Insane Clown Posse, released on October 18."
,2,6,N,
,3,6,N,
,4,6,N,
,5,6,N,
,6,6,N,
,7,6,N,
,8,6,HT,"""On November 22, 1994, Esham released his fourth studio album, Closed Casket."
,9,6,N,
,10,6,N,
,11,6,HT,"In May 1996, Esham released his fifth studio album, Dead Flowerz."
,12,6,N,
,0,8,N,
,1,8,N,
,2,8,HT,"In June 2001, Gothom released Kool Keith's Spankmaster album, which featured several contributions by Esham, as well as Smith's eighth album, Tongues, which peaked at number seven on the Top Independent Albums chart, number 46 on the Top R&B/Hip-Hop Albums chart and number 195 on the Billboard 200."
,3,8,HT,"In August 2001, Esham and D12 were kicked off the Warped Tour after members of the group allegedly physically attacked Smith over the lyrics of his song ""Chemical Imbalance"", which contained a reference to the daughter of D12 member Eminem, who was not present during the tour."
,0,10,N,
,1,10,N,
,2,10,N,
,3,10,N,
,4,10,N,
,5,10,N,
,6,10,HT,"""In 2005"
,7,10,N,
,0,11,N,
,1,11,N,
,2,11,N,
,3,11,HT,"""Following this release, Esham left Psychopathic in 2005 to relaunch Reel Life/Gothom."
,0,13,HT,"In June 2010, Esham recorded ""Walk Toward the Light"", a collaboration with international pro-wrestling superstar and global underground artist One Man Kru (of the horrorcore group Keepaz of the Krypt)."
,1,13,N,
,2,13,N,
,0,14,HT,"Smith released his twelfth studio album, Suspended Animation on August 3, 2010, followed by the album DMT Sessions, and a documentary directed by Smith, Death of an Indie Label in 2011, which was originally announced as a bonus feature on a deluxe edition of DMT Sessions, but was instead uploaded onto Gothom Inc.'s YouTube channel."
,1,14,N,
,2,14,N,
,3,14,HT,He also attempted a run for mayor of Detroit.
,4,14,HT,"In 2012, MTV published a story detailing Esham's feud with Eminem and Insane Clown Posse."
,5,14,HT,"In 2015 Esham and Insane Clown Posse reconciled their differences and Esham performed at the 2016 Juggalo Day ""Ringmaster"" Show."
,0,16,HT,"Esham's lyrical style, which author Sara Cohen says ""utilize[s] shocking (and blatantly over the top) narratives to give an over-exaggerated, almost cartoon-like version of urban deprivation in Detroit"", was derived from the style of the Geto Boys."
,1,16,N,
,2,16,N,
,3,16,N,
,0,18,N,
,1,18,HT,"According to Smith, ""I've been able to entertain people for 20 years."
,2,18,HT,I just try to uplift people now.
,3,18,N,
,4,18,N,
,5,18,N,
,6,18,N,
,0,25,N,
