before,after,paragraphIndex,annotation,sentences
,0,0,HM,"Fausto Papetti (Viggiù, 28 January 1923 – San Remo, 15 June 1999) was an Italian alto saxophone player."
,1,0,N,
,0,1,HT,Papetti reached the height of his popularity in the 1960s and 1970s.
,1,1,N,
,2,1,HT,"During the 1970s, Papetti's first greatest hits album, published in 1975, is to these days his best-selling album."
,3,1,N,
,4,1,HT,"His influence on saxophone music was substantial and in the 1970s many imitators appeared, like Johnny Sax and Piergiorgio Farina."
,0,2,N,
,1,2,N,
,0,17,N,
,0,26,N,
,0,30,HT,The Magic Sax of Fausto Papetti (1995)
,0,41,HT,Us and Them (Fausto Papetti album)|Us and Them (1988)
,0,42,HT,Midnight Melodies (Fausto Papetti album)|Midnight Melodies (1988)
,0,54,HT,"Fausto Papetti Collection, Vol. 2 (2006)"
,0,66,HT,All Time Favorites (Fausto Papetti album)|All Time Favorites (1991)
