before,after,paragraphIndex,annotation,sentences
,0,0,HT,"Annerley Emma Gordon (born 12 November 1967), most known professionally as Ann Lee, is a British, Italy-based Eurodance singer and songwriter who rose to fame in the late 1990s."
,1,0,HT,"She is known primarily for her 1999 hit singles ""2 Times"" and ""Voices""."
,0,2,HT,"Having moved to live in Italy in the late 1980s, Gordon released a few Eurobeat solo singles on the Italian label A. Beat-C. under the names Annerley Gordon and Annalise."
,1,2,HT,"Gordon is credited with contributing to the composition of ""The Rhythm of the Night"", released in Italy in December 1993 on the DWA record label, by Eurodance project Corona."
,0,3,HT,"Gordon's first solo single under the name ""Ann Lee"" was ""2 Times"", originally released in 1998."
,1,3,N,
,2,3,HT,"It also hit number 2 in her native United Kingdom, and reached number one in Flanders and Denmark."
,3,3,N,
,4,3,N,
,0,4,HT,"Lee's second single, ""Voices"", fared considerably less well, although it was a Top 10 hit in the Czech Republic, Denmark and Spain, and Top 30 in the United Kingdom.2007 saw the return of Lee with a new album, So Alive, with the single ""Catches Your Love""."
,1,4,HT,"In 2009, she released a new single, ""2 People"", on the Off Limits label."
,2,4,HT,"In December of that year, Lee provided the vocals for Favretto's single ""I Get The Feeling"", also released by Off Limits."
,0,6,HT,"Lee bought a house in Italy in 2005, and has a son born in the same year."
