before,after,paragraphIndex,annotation,sentences
,0,0,HT,"Lawrence Gellert (1898-1979?), was a music collector, who in the 1920s and 1930s amassed a significant collection of field-recorded African-American blues and spirituals and also claimed to have documented black protest traditions in the South of the United States."
,0,2,HM,"Lawrence Gellert was born László Grünbaum on September 14, 1898, in Budapest, Hungary."
,1,2,HT,He came to America at the age of seven and grew up in New York City.
,2,2,N,
,3,2,HT,"Both parents were ethnically Jewish, but Lawrence's mother had converted to Catholicism while in Hungary and remained devoutly Christian all her life."
,4,2,HT,The Grünbaum family had left Hungary in part to keep their five sons from being drafted into the Austro-Hungarian army.
,5,2,HT,"Lawrence's oldest brother, Hugo Gellert, was accepted into Cooper Union as an art student, won a scholarship to study in Paris, and was soon doing illustrations for The New York Times and later, The New Yorker."
,6,2,N,
,7,2,N,
,8,2,N,
,9,2,N,
,10,2,N,
,11,2,HT,"Hugo Gellert, an impassioned anti-militarist, had fled to Mexico for the duration of the war."
,0,4,N,
,1,4,HT,During the 1920s he found work on a newspaper but was stricken with lung and rib infections and possibly also suffered a mental breakdown.
,2,4,HT,"On the advice of his doctors, he maintained, he moved around 1924 to Tryon, North Carolina, in an attempt to recover his health, having originally intended to go to Florida."
,3,4,HT,"In Tryon he found friends, joined an amateur theater group, and at some point began writing down the words of African American spirituals and then making audio recording of them, using at first a makeshift, wind-up recording machine and paper-backed zinc discs (now inaudible), and, after 1930, a Presto disc recorder."
,4,4,N,
,0,6,HT,"From 1933 to 1937 Gellert was back in New York City but made short trips through North Carolina, South Carolina, and Georgia, collecting folksongs of black Americans."
,1,6,HT,"At one point, Gellert's automobile was ""allegedly known as 'Larry's Nigger Hoo Doo Shack on Wheels'."""
,0,7,HM,"Throughout the 1930s Lawrence frequently contributed to the magazine the Masses (later the New Masses), where his brother Hugo was on the editorial staff."
0.0,1,7,HM,"Throughout the 1930s Lawrence frequently contributed to the magazine the Masses (later the New Masses), where his brother Hugo was on the editorial staff. Several of his columns appeared under the title ""Negro Protest Songs"", illustrated by Hugo with pictures of lynchings."
,2,7,N,
,3,7,N,
,4,7,N,
,5,7,N,
,6,7,N,
,7,7,N,
,8,7,HT,"Composer Lan Adomian, in New Masses, wrote that the book featured ""some of the finest examples in Negro folk music"" of the day."
,9,7,N,
,10,7,HT,Selections from Gellert's recordings were released in 1973 and 1982 by Rounder Records as vinyl LPs and 1984 on Heritage Records (HT-304).
,11,7,HT,"In the 1990s these were reissued on two CDs by Document Records, edited by University of Michigan folklorist and ethnomusicologist Bruce Conforth."
,12,7,HT,"In 2008, Conforth published his long-awaited biography, African American Folksong and American Cultural Politics: The Lawrence Gellert Story (2013)."
,0,9,N,
,1,9,N,
,2,9,N,
,3,9,N,
,4,9,N,
,5,9,HT,"Conforth explains that, in his opinion, Gellert, a weak and dependent character, who since his twenties had been a chronic invalid and then an alcoholic, was manipulated into doing this by the ""Left"" (who included his brother Hugo and New Masses editor, Mike Gold)."
,6,9,N,
,7,9,N,
,8,9,N,
,9,9,N,
,10,9,N,
,11,9,N,
,0,11,HT,"In old age, Gellert, who lived in downtown New York City, became known as an eccentric Greenwich Village character."
,1,11,HT,"In 1979, at the age of 80, he disappeared after reportedly having become a ""person of interest"" (or believing that he was) in the disappearance of Etan Patz, a notorious kidnapping-murder case, since the Patzes lived nearby."
,2,11,N,
