before,after,paragraphIndex,annotation,sentences
,0,0,HT,Carolina Ferni (20 August 1846 – 4 June 1926) was an Italian violinist and operatic soprano.
,0,1,HT,Ferni was born in Como.
,1,1,HM,"She began her career as a violinist in Paris and Brussels, and later studied voice with famed soprano Giuditta Pasta."
,2,1,HM,She made her stage debut in Turin in 1862 as Leonora in Donizetti's La favorite.
,3,1,HT,"She sang at La Scala in Milan (1866–68) as Norma, Selika and Saffo, among other roles."
,4,1,N,
,0,2,HT,She was married to the prominent Verdi baritone Leone Giraldoni (1824–1897).
,1,2,N,
,2,2,HT,"Like his father, Eugenio became an operatic baritone, creating the role of Scarpia in Puccini's Tosca in 1900."
,0,3,HT,"Ferni retired from the stage in 1883, and opened a singing school in Milan, and later in St. Petersburg, Russia."
,1,3,N,
,2,3,HT,"She died in Milan in 1926, two years after her son."
,0,5,N,
