before,after,paragraphIndex,annotation,sentences
,0,0,HT,"Mikaila Dominique Enriquez (born December 15, 1986), known as Mikaila, is an American singer and actress from Edmond, Oklahoma."
,1,0,N,
,0,2,HT,Mikaila became interested in singing when she was 3 years old.
,1,2,N,
,2,2,N,
,3,2,N,
,4,2,N,
,5,2,HT,Mikaila's parents enrolled her in voice lessons when she was four years old.
,6,2,HT,She attended Washington Irving Elementary School in Oklahoma.
,7,2,HT,"After moving to Dallas with her family, she became a regular performer at Texas Rangers games."
,8,2,HT,"After heading to New York, she had meetings with several labels."
,9,2,N,
,10,2,N,
,0,4,HT,"In 1997, she was cast as Melina Finch during Season 2 of Wishbone."
,1,4,N,
,0,6,HT,"In 1996, before her time on Wishbone Mikaila was signed to the independent record label Union Records and released her debut gospel album titled This Little Light."
,1,6,N,
,2,6,HT,"The following year, Mikaila released her second album titled Dreams."
,3,6,HT,"Three years later, in 2000, at the age of 13, Mikaila left Union Records and was signed to Island Records."
,4,6,N,
,5,6,HT,In 2001 Mikaila released her third and final studio album Mikaila (album).
,6,6,N,
,7,6,HT,"In 2000, Mikaila was the opening act for Britney Spears during her Oops!..."
,8,6,N,
,9,6,N,
