before,after,paragraphIndex,annotation,sentences
,0,0,HT,"John Wayne Conlee (born August 11, 1946) is an American country music singer."
,1,0,HT,"Between 1978 and 2004, Conlee charted a total of 32 singles on the Billboard Hot Country Songs charts, and recorded 11 studio albums."
,2,0,N,
,3,0,N,
,0,2,HT,"Conlee was born on a tobacco farm in Versailles, Kentucky."
,1,2,N,
,2,2,N,
,0,4,HT,"By 1971, he moved to Nashville, Tennessee, in pursuit of a musical career, signing to ABC Records in 1976."
,1,4,HT,"Conlee charted for the first time in 1978 with ""Rose Colored Glasses,"" a No. 5 hit on the Billboard Hot Country Singles (now Hot Country Songs) chart, as well as the title track to his 1978 debut album."
,2,4,N,
,3,4,HT,"""Following ABC's merger with MCA Records, he released his 1979 album Forever on MCA."
,4,4,N,
,5,4,N,
,6,4,N,
,7,4,HT,"1981's With Love accounted for yet another No. 2 in ""Miss Emily's Picture."""
,8,4,HT,"Conlee performed his song live on Hee Haw on January 3, 1981."
,9,4,HT,"In 2005, Conlee donated his performance of ""Rose Colored Glasses"" at a concert at the Wildhorse Saloon in Nashville to benefit the Lymphatic Research Foundation (New York)."
,10,4,N,
,0,5,N,
,1,5,HT,"Conlee's 1982 album Busted was led off by a cover of the Harlan Howard song of the same name; the album's last single, ""Common Man,"" returned him to the top of the charts in 1983."
,2,5,N,
,3,5,N,
,0,6,HT,"Blue Highway in 1984, his last studio album for MCA, produced a No. 2 in ""Years After You."""
,1,6,HT,"A year later, a second Greatest Hits package produced his last MCA single in the No. 5 ""Old School"" before he moved to Columbia Records."
,2,6,HT,"Conlee's first Columbia release, Harmony, gave him his last number one hit in ""Got My Heart Set on You"" in 1986."
,3,6,N,
,4,6,N,
