before,after,paragraphIndex,annotation,sentences
,0,0,HT,"Joe Firstman (born December 12, 1979) is an American multi-genre singer, songwriter, and late-night bandleader."
,1,0,HT,He was the bandleader from 2005 to 2009 on American late night television program Last Call with Carson Daly broadcast on NBC.
,2,0,HT,"Firstman is now  recording and touring with Cordovas, the band he founded in 2011."
,0,2,N,
,1,2,N,
,0,3,HT,Joe Firstman began to achieve musical notoriety with his eponymous band Firstman (formerly Isabel Sol) gaining success through the 1990s opening for national acts.
,1,3,HT,"In 2000, Firstman boarded a Greyhound bus relocating to Hollywood, California."
,2,3,HT,"Almost immediately Joe Firstman was named ""Singer-Songwriter of the Year"" at the 2001 Los Angeles Music Awards."
,3,3,N,
,0,5,HT,"In 2002, Joe Firstman signed a major-label deal with Atlantic Records."
,1,5,HT,"He released a widely praised EP Wives Tales, and later that year, a full-length album, The War of Women, revealing the full scope of the then-23-year-old's prodigious talents."
,2,5,N,
,3,5,HT,"Unheard of for a warm up act, his brief, eight-song set earned him a standing ovation in New York City's Radio City Music Hall."
,4,5,N,
,5,5,HT,"That band is notable for having helped launch the careers of My Morning Jacket guitarist Carl Broemel, Lady Antebellum guitarist Slim Gambill, and Rival Sons drummer Mike Miley."
,0,6,HT,"In 2005, Joe Firstman left Atlantic Records to become the bandleader for NBC's late-night program, Last Call with Carson Daly."
,1,6,HT,In November 2005 Joe Firstman became the official house band leader for Last Call.
,2,6,N,
,3,6,N,
,4,6,N,
,5,6,N,
,6,6,N,
,7,6,N,
,8,6,N,
,0,7,HT,"In 2011, Joe Firstman formed the band Cordovas in Nashville, Tennessee, and released the self-titled full-length album Cordovas and a live album later that year."
,1,7,N,
,2,7,HT,Cordovas are currently recording an album produced by Kenneth Pattengale of The Milk Carton Kids.
,0,8,HT,"While consistently touring across North America, Joe Firstman continues ""to draw on a rich tapestry of style and genre."
,1,8,N,
,2,8,N,
,3,8,HM,"Brooklyn, NY based The Deli Magazine says: ""In addition to being a bottomless well of natural songwriting talent with years of touring experience with A-list acts, Firstman can claim four years acting as bandleader for The Carson Daly show."
,4,8,N,
,0,16,N,
,0,19,N,
,1,19,N,
,0,23,HT,"Cordovas (2011, 1stman Music)"
,0,24,N,
