before,after,paragraphIndex,annotation,sentences
,0,2,HT,"Margaret Hoffler was born and brought up in Norfolk, Virginia, one of the four children of Kemper Hoffler and his wife Ledora."
,1,2,N,
,0,3,N,
,1,3,N,
,2,3,HT,"He introduced her to local musician Luther Wilson, whose band she joined in 1945."
,3,3,N,
,4,3,HT,During this period she began using the stage name Margie Day.
,5,3,N,
,6,3,N,
,0,5,HT,"In early 1950, she was approached by the Griffin Brothers, a popular local band, and accepted an invitation to join them."
,1,5,HT,She sang with them in Virginia and North Carolina before they received a recording deal with Dot Records.
,2,5,HT,"Their first record billed together as Margie Day with the Griffin Brothers Orchestra, ""Street Walkin' Daddy"" / ""Riffin' With Griffin"", became a # 7 hit on the Billboard R&B chart in late 1950, with sales reportedly reaching over fifteen thousand copies a week."
,3,5,HT,"The follow-up record was ""Little Red Rooster"" (unrelated to a Willie Dixon song with the same title and, by Day's account, written by Kay Griffin with help from Day herself), which reached # 5 on the R&B chart in early 1951."
,4,5,N,
,5,5,HT,"She toured widely with the group in 1951 and 1952, and they released several other singles on the Dot label including ""Sadie Green"", ""I'm Gonna Jump In The River"", ""The Clock Song (Let Your Pendulum Swing)"", and ""Pretty Baby"", her last entry in the R&B top ten."
,6,5,N,
,7,5,HT,"In late 1952, she left the Griffin Brothers, joined the Floyd Dixon Combo as featured vocalist, and also began recording solo, her first solo release on Dot being ""Midnight""."
,8,5,HT,"The following year, she joined with the Paul ""Hucklebuck"" Williams band for a series of concerts and tours, appearing on the same bills as T-Bone Walker, Fats Domino, Charles Brown, Ruth Brown and others."
,9,5,HT,"In September 1953, she left Dot Records and signed for Decca, her first release on the new label being the self-penned ""Snatching It Back""."
,10,5,HT,"Although her records—including the suggestive ""Take Out Your False Teeth Daddy""—failed to make the charts, she continued to tour widely and successfully with the Paul Williams band through 1954 and early 1955."
,11,5,HT,"In May 1955 she recorded for Atlantic Records, who released the single ""Pitty Pat Band"", credited to Margie Day with the Soul Destroyers, on their subsidiary Cat label."
,12,5,N,
,13,5,HT,"Margie Day continued to perform as a solo singer in the late 1950s, and released records on several labels including DeLuxe (a subsidiary of King Records), Coed and LeGrand."
,14,5,HT,"However, having had another baby and tiring of touring, she retired from the music business around 1964 and returned to Norfolk, Virginia."
,15,5,N,
,16,5,HT,"She then signed a new recording contract, with RCA Records, and released two albums of pop and standards in the late 1960s, Dawn of a New Day and Experience."
,17,5,N,
,18,5,HT,"Day returned to performing, in Miami, Atlantic City, and Chicago."
,19,5,HT,"She was booked to perform in Puerto Rico in 1969, but became ill and the engagement was cancelled."
,0,7,N,
,1,7,HM,"In 1983, under her married name of Margie Day Walker, she launched a community effort in Norfolk, Virginia, aiming to develop and train children in the area in the performing and visual arts, to help foster their intellectual growth, emotional and moral development, and self-esteem."
1.0,2,7,HM,"In 1983, under her married name of Margie Day Walker, she launched a community effort in Norfolk, Virginia, aiming to develop and train children in the area in the performing and visual arts, to help foster their intellectual growth, emotional and moral development, and self-esteem. This became the Centerstage children's arts workshop, a not for profit organization incorporated in January 1985, with Margie Day Walker as executive director, and which now finds and develops talented children and coaches them in art, drama, music and dance."
,3,7,HT,"In 2010, rights-management firm Beach Road Music, LLC, acquired the Coed Records catalog, subsequently re-releasing three digitally re-mastered 1961 Margie Day singles on the compilation album From The Vault: The Coed Records Lost Master Tapes, Volume 1."
3.0,4,7,HM,"In 2010, rights-management firm Beach Road Music, LLC, acquired the Coed Records catalog, subsequently re-releasing three digitally re-mastered 1961 Margie Day singles on the compilation album From The Vault: The Coed Records Lost Master Tapes, Volume 1. Margie Day Walker died on September 18, 2014, in Norfolk, Virginia."
