sentences,sentenceIndex,paragraphIndex,section,file,wikiId,Music making,Business meeting,Personal life,Coincidence,Public celebration,Education
His niche of mixing jazz and vaudeville won him acclaim during a career that spanned over 65 years.Calloway was a master of energetic scat singing and led one of the most popular dance bands in the United States from the early 1930s to the late 1940s.,2,0,N/A,indexedSentences/155965.csv,155965,False,True,False,False,False,False
"His band included trumpeters Dizzy Gillespie, Jonah Jones, and Adolphus ""Doc"" Cheatham, saxophonists Ben Webster and Leon ""Chu"" Berry, guitarist Danny Barker, bassist Milt Hinton, and drummer Cozy Cole.Calloway had several hit records in the 1930s and 1940s, becoming known as the ""Hi-de-ho"" man of jazz for his most famous song, ""Minnie the Moocher"", originally recorded in 1931.",3,0,N/A,indexedSentences/155965.csv,155965,True,False,False,False,False,False
His career saw renewed interest when he appeared in the 1980 film The Blues Brothers.,8,0,N/A,indexedSentences/155965.csv,155965,False,True,False,False,False,False
Calloway was the first African American musician to sell a million records from a single and to have a nationally syndicated radio show.,0,1,N/A,indexedSentences/155965.csv,155965,True,False,False,False,False,False
"His song ""Minnie the Moocher"" was inducted into the Grammy Hall of Fame in 1999, and added to the Library of Congress' National Recording Registry in 2019.",3,1,N/A,indexedSentences/155965.csv,155965,True,False,False,False,False,False
"Calloway was born in Rochester, New York, on Christmas Day in 1907 to an African American family.",0,3,== Early life ==,indexedSentences/155965.csv,155965,False,False,True,False,False,False
"His mother, Martha Eulalia Reed, was a Morgan State College graduate, teacher, and church organist.",1,3,== Early life ==,indexedSentences/155965.csv,155965,False,False,True,False,False,False
"His father, Cabell Calloway Jr., graduated from Lincoln University of Pennsylvania in 1898, and worked as a lawyer and in real estate.",2,3,== Early life ==,indexedSentences/155965.csv,155965,False,False,True,False,False,False
"The family moved to Baltimore, Maryland, when Calloway was 11.",3,3,== Early life ==,indexedSentences/155965.csv,155965,False,False,True,False,False,False
"Soon after, his father died and his mother remarried to John Nelson Fortune.Calloway grew up in the West Baltimore neighborhood of Druid Hill.",4,3,== Early life ==,indexedSentences/155965.csv,155965,False,False,True,False,False,False
"After he was caught playing dice on the church steps, his mother sent him to Downingtown Industrial and Agricultural School in 1921, a reform school run by his mother's uncle in Chester County, Pennsylvania.Calloway resumed hustling when he returned to Baltimore and worked as a caterer while he improved his studies in school.",6,3,== Early life ==,indexedSentences/155965.csv,155965,True,False,True,False,False,False
"Despite his parents' and teachers' disapproval of jazz, he began performing in nightclubs in Baltimore.",8,3,== Early life ==,indexedSentences/155965.csv,155965,True,False,False,False,False,False
His mentors included drummer Chick Webb and pianist Johnny Jones.,9,3,== Early life ==,indexedSentences/155965.csv,155965,False,False,False,False,False,True
"Calloway joined his high school basketball team, and in his senior year he started playing professional basketball with the Baltimore Athenians, a team in the Negro Professional Basketball League.",10,3,== Early life ==,indexedSentences/155965.csv,155965,True,False,False,False,False,False
== Music career ==,0,4,== Music career ==,indexedSentences/155965.csv,155965,False,True,False,False,False,False
=== 1927–1929: Early career ===,0,5,== Music career == | === 1927–1929: Early career ===,indexedSentences/155965.csv,155965,False,True,False,False,False,False
"In 1927, Calloway joined his older sister, Blanche Calloway, on tour for the popular black musical revue Plantation Days.",0,6,== Music career == | === 1927–1929: Early career ===,indexedSentences/155965.csv,155965,True,False,False,False,False,False
"Calloway's mother wanted him to be a lawyer like his father, so once the tour ended he enrolled at Crane College in Chicago, but he was more interested in singing and entertaining.",2,6,== Music career == | === 1927–1929: Early career ===,indexedSentences/155965.csv,155965,False,False,True,False,False,False
"While at Crane he refused the opportunity to play basketball for the Harlem Globetrotters to pursue a singing career.Calloway spent most of his nights at Chicago's Dreamland Café, Sunset Cafe, and Club Berlin, performing as a singer, drummer, and master of ceremonies.",3,6,== Music career == | === 1927–1929: Early career ===,indexedSentences/155965.csv,155965,True,True,False,False,True,False
"There he met and performed with Louis Armstrong, who taught him to sing in the scat style.",5,6,== Music career == | === 1927–1929: Early career ===,indexedSentences/155965.csv,155965,True,False,False,True,False,True
"He left school to sing with the Alabamians band.In 1929, Calloway relocated to New York with the band.",6,6,== Music career == | === 1927–1929: Early career ===,indexedSentences/155965.csv,155965,True,False,False,False,False,False
"While Calloway was performing in the revue, the Missourians asked him to front their band.",10,6,== Music career == | === 1927–1929: Early career ===,indexedSentences/155965.csv,155965,True,False,False,False,False,False
"At the Cotton Club in Harlem, New York, the band was hired in 1931 to substitute for the Duke Ellington Orchestra while Ellington's band was on tour.",1,8,== Music career == | === 1930–1955: Success ===,indexedSentences/155965.csv,155965,False,True,False,False,False,False
The band also performed twice a week for radio broadcasts on NBC.,3,8,== Music career == | === 1930–1955: Success ===,indexedSentences/155965.csv,155965,True,False,False,False,False,False
"During the depths of the Great Depression, Calloway was earning $50,000 a year at 23 years old.In 1931, Calloway recorded his most famous song, ""Minnie the Moocher.""",5,8,== Music career == | === 1930–1955: Success ===,indexedSentences/155965.csv,155965,True,False,False,False,False,False
It was the first single record by an African American to sell a million copies.,6,8,== Music career == | === 1930–1955: Success ===,indexedSentences/155965.csv,155965,True,False,False,False,False,False
"Calloway performed the song and two others, ""St. James Infirmary Blues"" and ""The Old Man of the Mountain,"" in the Betty Boop cartoons Minnie the Moocher (1932), Snow-White (1933), and The Old Man of the Mountain (1933).",7,8,== Music career == | === 1930–1955: Success ===,indexedSentences/155965.csv,155965,True,False,False,False,False,False
"Calloway performed voice-over for these cartoons, and through rotoscoping, his dance steps were the basis of the characters' movements.As a result of the success of ""Minnie the Moocher"", Calloway became identified with its chorus, gaining the nickname ""The Hi De Ho Man"".",8,8,== Music career == | === 1930–1955: Success ===,indexedSentences/155965.csv,155965,True,False,False,False,False,False
