sentences,sentenceIndex,paragraphIndex,section,file,wikiId,Music making,Business meeting,Personal life,Coincidence,Public celebration,Education
"He is best known for writing the Hymn to Liberty (Greek: Ὕμνος εις την Ἐλευθερίαν, Ýmnos eis tīn Eleutherían), which was set to music by Nikolaos Mantzaros and became the Greek and Cypriot national anthem in 1865 and 1966 respectively.",1,0,N/A,indexedSentences/295286.csv,295286,True,False,False,False,False,False
"He was the central figure of the Heptanese School of poetry, and is considered the national poet of Greece—not only because he wrote the national anthem, but also because he contributed to the preservation of earlier poetic tradition and highlighted its usefulness to modern literature.",2,0,N/A,indexedSentences/295286.csv,295286,True,False,False,False,False,False
"Born in Zakynthos in 1798, Dionysios Solomos was the illegitimate child of a wealthy count, Nikolaos Solomos, and his housekeeper, Angeliki Nikli.",0,3,== Life == | === Early life and education ===,indexedSentences/295286.csv,295286,False,False,True,False,False,False
Nikolaos Solomos was of Cretan origin; his family were Cretan refugees who settled on Zakynthos in 1670 after Crete's conquest by the Ottoman Empire in 1669.,1,3,== Life == | === Early life and education ===,indexedSentences/295286.csv,295286,False,False,True,False,False,False
It is possible that his mother Angeliki Nikli came from the region of Mani.,2,3,== Life == | === Early life and education ===,indexedSentences/295286.csv,295286,False,False,True,False,False,False
"The Italian version of the family name is recorded as: Salamon, Salomon, Solomon, and Salomone.",3,3,== Life == | === Early life and education ===,indexedSentences/295286.csv,295286,True,False,True,False,False,False
"Count Nikolaos Solomos was legally married to Marnetta Kakni, who died in 1802.",4,3,== Life == | === Early life and education ===,indexedSentences/295286.csv,295286,False,False,True,False,False,False
"From that marriage, he had two children: Roberto and Elena.",5,3,== Life == | === Early life and education ===,indexedSentences/295286.csv,295286,False,False,True,False,True,False
"Since 1796, Nikolaos Solomos had a parallel relationship with his housekeeper Angeliki Nikli, who gave birth to one more son apart from Dionysios, Dimitrios (born in 1801).",6,3,== Life == | === Early life and education ===,indexedSentences/295286.csv,295286,False,False,True,False,False,False
"His father married Dionysios' mother a day before he died on 27 February 1807, making the young Dionysios legitimate and a co-heir to the count's estate, along with his half-brother.",7,3,== Life == | === Early life and education ===,indexedSentences/295286.csv,295286,False,False,True,False,False,False
"After his father's death, count Dionysios Messalas gained Solomos' custody, whereas his mother married Manolis Leontarakis on 15 August 1807.",9,3,== Life == | === Early life and education ===,indexedSentences/295286.csv,295286,False,False,True,False,False,False
"In 1808, Messalas sent Solomos to Italy in order to study law, as was customary with Ionian nobility, but possibly also because of Dionysios' mother's new marriage.",10,3,== Life == | === Early life and education ===,indexedSentences/295286.csv,295286,False,False,True,False,True,False
"Given the interest the young poet showed in the flourishing Italian literature and being a perfect speaker of Italian, he started writing poems in Italian.",4,5,== Life == | === Studies in Italy ===,indexedSentences/295286.csv,295286,True,False,True,False,False,False
One of the most important first poems written in Italian during that period of time was the Ode per la prima messa (Ode to the first mass) and La distruzione di Gerusalemme (The destruction of Jerusalem).,5,5,== Life == | === Studies in Italy ===,indexedSentences/295286.csv,295286,True,False,False,False,False,False
First works in Greek and encounter with Spyridon Trikoupis =,1,9,== Life == | === First works in Greek and encounter with Spyridon Trikoupis ===,indexedSentences/295286.csv,295286,False,False,False,True,False,False
"Along with the Italian poems, Solomos made his first attempts to write in Greek.",0,10,== Life == | === First works in Greek and encounter with Spyridon Trikoupis ===,indexedSentences/295286.csv,295286,True,False,False,False,False,False
"This was a difficult task for the young poet, since his education was classical and in Italian, but also because there did not exist any poetic works written in the demotic dialect that could have served as models.",1,10,== Life == | === First works in Greek and encounter with Spyridon Trikoupis ===,indexedSentences/295286.csv,295286,True,False,True,False,False,False
"However, the fact that his education in Greek was minimal kept him free of any scholarly influences, that might have led him to write in katharevousa, a ""purist"" language formulated as a simpler form of ancient Greek.",2,10,== Life == | === First works in Greek and encounter with Spyridon Trikoupis ===,indexedSentences/295286.csv,295286,True,False,False,False,False,False
Instead he wrote in the language of the common people of his native island.,3,10,== Life == | === First works in Greek and encounter with Spyridon Trikoupis ===,indexedSentences/295286.csv,295286,True,False,False,False,False,False
"The result was the first extensive body of literature written in the demotic dialect, a move whose influence on subsequent writers cannot be overstated.",5,10,== Life == | === First works in Greek and encounter with Spyridon Trikoupis ===,indexedSentences/295286.csv,295286,True,False,False,False,False,False
"Poems dating to that period of time are I Xanthoula — The little blond girl, I Agnoristi — The Unrecognizable, Ta dyo aderfia — The two brothers and I trelli mana — The mad mother.",6,10,== Life == | === First works in Greek and encounter with Spyridon Trikoupis ===,indexedSentences/295286.csv,295286,False,False,True,False,False,False
Solomos' encounter with Spyridon Trikoupis in 1822 was a turning-point in his writing.,0,11,== Life == | === First works in Greek and encounter with Spyridon Trikoupis ===,indexedSentences/295286.csv,295286,False,False,False,True,False,False
"When Trikoupis visited Zakynthos in 1822, invited by Lord Guilford, Solomos' fame on the island was already widespread and Trikoupis wished to meet him.",1,11,== Life == | === First works in Greek and encounter with Spyridon Trikoupis ===,indexedSentences/295286.csv,295286,False,False,False,True,False,False
"It is alleged that Solomos could hear the cannon firing from Zakynthos during the Greek War of Independence, which inspired him to write his most famous works.",0,16,== Life == | === Hymn to Liberty and the poet's establishment ===,indexedSentences/295286.csv,295286,True,False,False,False,False,False
"However, Dionysios did not leave Zakynthos solely because of his family problems; Solomos had been planning to visit the island since 1825.",1,18,== Life == | === Establishment on Corfu: first years ===,indexedSentences/295286.csv,295286,False,False,True,False,False,False
"Corfu was the perfect place for contemplation and writing poetry, in line with Solomos' noble ideas about Art.",3,18,== Life == | === Establishment on Corfu: first years ===,indexedSentences/295286.csv,295286,True,False,False,False,False,False
"Between 1833 and 1838, having restored the relations with his brother, Solomos' life was perturbed by a series of trials where his half-brother (from his mother's side) Ioannis Leontarakis was claiming part of their father's legacy, arguing that he was also the legal child of count Nikolaos Solomos, since his mother was pregnant before the father's death.",0,20,== Life == | === 1833: trial and great works of maturity ===,indexedSentences/295286.csv,295286,False,False,True,False,False,False
"Even though the outcome of the trial was favorable to both the poet and his brother, the dispute led to Solomos' alienation from his mother (his feelings were badly hurt because of his adoration towards his mother) and his withdrawal from publicity.",1,20,== Life == | === 1833: trial and great works of maturity ===,indexedSentences/295286.csv,295286,False,False,True,False,False,False
"On Corfu, Solomos soon found himself at the admirers' and poets' center of attention, a group of well educated intellectuals with liberal and progressive ideas, a deep knowledge of art and with austere artistic pretensions.",0,23,== Life == | === Circle of Corfu ===,indexedSentences/295286.csv,295286,False,False,False,True,False,False
"After 1847, Solomos started writing in Italian once more.",0,26,== Life == | === Last years ===,indexedSentences/295286.csv,295286,True,False,False,False,False,False
Solomos died in February 1857 from apoplexy.,4,26,== Life == | === Last years ===,indexedSentences/295286.csv,295286,False,False,True,False,False,False
"Solomos' first poems written on Zakynthos were influenced by Italian poetry of that era, in line with the Academy of Arcadia movement (e.g. O thanatos tou voskou-The shepherd's death, Evrikomi) and by early romanticism (I trelli mana-The mad mother).",0,29,== Work == | === Literary influences and major works ===,indexedSentences/295286.csv,295286,True,False,True,False,False,False
"In 1823, the poet writes the epic Hymn to Liberty, the first two stanzas of which became the Greek national anthem.",0,31,== Work == | === Literary influences and major works ===,indexedSentences/295286.csv,295286,True,False,False,False,False,False
"Solomos' own Ionian islands, under British rule at the time, are described as being ""artfully chained"" and having ""'False Freedom' written on their foreheads.""",3,31,== Work == | === Literary influences and major works ===,indexedSentences/295286.csv,295286,True,False,False,False,False,False
Lampros is an extreme romantic hero: he entered into a relationship with a young girl named Maria and they had four children without being married.,1,34,== Work == | === Literary influences and major works ===,indexedSentences/295286.csv,295286,False,False,True,False,False,False
Lampros sen t their children to an orphanage.,2,34,== Work == | === Literary influences and major works ===,indexedSentences/295286.csv,295286,False,False,True,False,False,False
"While he was fighting against Ali Pasha, he met a girl, unaware of the fact that she was his daughter, and had a love affair with her.",3,34,== Work == | === Literary influences and major works ===,indexedSentences/295286.csv,295286,False,False,False,True,False,False
"Maria had already lost her reason and fell into a lake, hoping that she would at last find peace.",7,34,== Work == | === Literary influences and major works ===,indexedSentences/295286.csv,295286,False,False,False,True,False,False
"In 1833, Solomos wrote his first important work during his maturity, O Kritikos (The Cretan), in iambic fifteen-syllable verse, as a result of the Cretan's literature influence.",0,36,== Work == | === Literary influences and major works ===,indexedSentences/295286.csv,295286,True,False,False,False,False,False
"The narrator of the story is the Cretan himself: he starts telling his story many years later, when he is living alone as a beggar, doing flashbacks (from his life on Crete and the shipwreck) and talking about the future (the resurrection of the dead and his encounter with his beloved one in Paradise).",3,36,== Work == | === Literary influences and major works ===,indexedSentences/295286.csv,295286,False,False,False,True,False,False
"David Ricks writes with respect to her identity, ""we must hold in balance the soul of the expiring fiancée, the kindly presence of the Motherland and a recollection of our Lady"".",9,36,== Work == | === Literary influences and major works ===,indexedSentences/295286.csv,295286,True,False,False,False,False,False
"Between 1833 and 1844, Solomos edited the second draft of The Free Besieged, a poem inspired by the Third Siege of Missolonghi and the heroic exodus of its inhabitants, written in a rhyming fifteen-syllable verse.",10,36,== Work == | === Literary influences and major works ===,indexedSentences/295286.csv,295286,True,False,False,False,False,False
The notes written by the poet in Italian are very useful for the poem's interpretation.,13,36,== Work == | === Literary influences and major works ===,indexedSentences/295286.csv,295286,True,False,False,False,False,False
"The last work of maturity is ""O Pórfyras"" (The Shark), written in 1847.",0,37,== Work == | === Literary influences and major works ===,indexedSentences/295286.csv,295286,True,False,False,False,False,False
"The poem Ode to the death of Lord Byron, is labeled lyrical and was written after Byron died during the siege of Mesolongi, but the subject matter and form are epic.",0,39,== Work == | === Literary influences and major works ===,indexedSentences/295286.csv,295286,True,False,True,False,False,False
"Solomos also wrote translations of Italian poetry and Desdemona's song from Shakespeare's Othello, epigrams, other miscellaneous verse, satirical poems in Zakynthian dialect, and two prose works, including the tragic/mystical The Woman of Zakynthos.",0,47,== Work == | === Minor works ===,indexedSentences/295286.csv,295286,True,False,False,False,False,False
"On the Ionian Islands and in Athens, the poet was known only by his published poems: the Hymn to Liberty, the abstract from Maria's prayer, Lampros, the Ode to the Nun and his poems written in his youth, many of them which were spread by word of mouth and many of them were set to music.",2,49,== Work == | === Acceptance of his work ===,indexedSentences/295286.csv,295286,True,False,False,False,False,False
"In 1827, Iakovos Rizos Neroulos wrote in the Cours de la literature grecque moderne: ""Dionysios Solomos' poems...  have the value of a strong and fascinating inspiration, a fantasy full of courage and fertility"".",5,49,== Work == | === Acceptance of his work ===,indexedSentences/295286.csv,295286,True,False,False,False,False,False
Alexandros Rizos Ragkavis in Esquisses de la literature grecque moderne wrote: his spirit makes him one of Greece's greatest glories...,7,49,== Work == | === Acceptance of his work ===,indexedSentences/295286.csv,295286,True,False,False,False,False,False
"Even before his death, Solomos' poetical work was identified with the fatherland's concept; in 1849, the newspaper Aion wrote: ""the poetry of Solomos is not the poetry of a single person but the poetry of a whole nation"".",9,49,== Work == | === Acceptance of his work ===,indexedSentences/295286.csv,295286,True,False,False,False,False,False
"The magazine Pandora wrote: ""one of the finest poets of Greece and of Europe, the author of the dithyramb to Liberty, Dionysios Solomos from Zakynthos died at a thriving age"".",11,49,== Work == | === Acceptance of his work ===,indexedSentences/295286.csv,295286,True,False,True,False,False,False
